# year_handle,award name
1984_anonymous,Dishonorable Mention
1984_decot,Second Place
1984_laman,Third Place
1984_mullender,Grand Prize
1985_applin,Best one liner
1985_august,Most obscure program
1985_lycklama,Strangest appearing program
1985_shapiro,Grand Prize - Most well rounded in confusion
1985_sicherman,Worst abuse of the C preprocessor
1986_applin,Most adaptable program
1986_august,Best complex task done in a complex way
1986_bright,Most useful obfuscation
1986_hague,Worst abuse of the C preprocessor
1986_holloway,Best simple task performed in a complex way
1986_marshall,Best layout
1986_pawka,Most illegible code
1986_stein,Best one liner
1986_wall,Grand Prize - Most well rounded in confusion
1987_biggar,Best abuse of the rules
1987_heckbert,Best obfuscator of programs
1987_hines,Worst style
1987_korn,Best one liner
1987_lievaart,Grand Prize
1987_wall,Most useful obfuscation
1987_westley,Best layout
1988_applin,Best of Show
1988_dale,Best abuse of system calls
1988_isaak,Best visuals
1988_litmaath,Best small program
1988_phillipps,Least likely to compile successfully
1988_reddy,Most useful obfuscated C program
1988_robison,Best abuse of C constructs
1988_spinellis,Best abuse of the rules
1988_westley,Best layout
1989_fubar,Best self-modifying program
1989_jar.1,Strangest abuse of the rules
1989_jar.2,Best of Show
1989_ovdluhe,Most humorous output
1989_paul,Most complex algorithm
1989_robison,Best minimal use of C
1989_roemer,Best layout
1989_tromp,Best game
1989_vanb,Best one liner
1989_westley,Most algorithms in one program
1990_baruch,Best small program
1990_cmills,Best game
1990_dds,Best language tool
1990_dg,Best abuse of the C preprocessor
1990_jaw,Best entropy-reducer
1990_pjr,Most unusual data structure
1990_scjones,ANSI Committee's worst abuse of C
1990_stig,Strangest abuse of the rules
1990_tbr,Best utility
1990_theorem,Best of Show
1990_westley,Best layout
1991_ant,Best utility
1991_brnstnd,Best of Show
1991_buzzard,Best output
1991_cdupont,Most useful label
1991_davidguy,Best X11 graphics
1991_dds,Most well rounded
1991_fine,Best one liner
1991_rince,Best game
1991_westley,Grand Prize
1992_adrian,Most educational
1992_albert,Most useful program
1992_ant,Best utility
1992_buzzard.1,Most obfuscated algorithm
1992_buzzard.2,Best language tool
1992_gson,Most humorous output
1992_imc,Best output
1992_kivinen,Best X program
1992_lush,Worst abuse of the C preprocessor
1992_marangon,Best game
1992_nathan,Worst abuse of the rules
1992_vern,Best of Show
1992_westley,Best small program
1993_ant,Best utility
1993_cmills,Bill Gates Award
1993_dgibson,Best abuse of the C preprocessor
1993_ejb,Best obfuscated algorithm
1993_jonth,Most obfuscated X program
1993_leo,Best game
1993_lmfjyh,Most versatile source
1993_plummer,Best one liner
1993_rince,Most well rounded
1993_schnitzi,Obfuscated Intelligence Award
1993_vanb,Most irregular expression
1994_dodsond1,Best game
1994_dodsond2,Most obfuscated packaging
1994_horton,Best utility
1994_imc,Most obfuscated algorithm
1994_ldb,Best one liner
1994_schnitzi,Best layout
1994_shapiro,Most well rounded obfuscation
1994_smr,Worst abuse of the rules
1994_tvr,Best X11 program
1994_weisberg,Best short program
1994_westley,Worst abuse of the C preprocessor
1995_cdua,Best output
1995_dodsond1,Most humorous
1995_dodsond2,Best game
1995_esde,Interesting algorithm
1995_garry,Best utility
1995_heathbar,Best layout
1995_leo,Best use of obfuscation
1995_makarios,Best short program
1995_savastio,Most obfuscated syntax
1995_schnitzi,Best one liner
1995_spinellis,Abusing the rules
1995_vanschnitz,Worst abuse of the C preprocessor and most likely to amaze
1996_august,Best of Show
1996_dalbec,Best numerical obfuscation
1996_eldby,Best output
1996_gandalf,Best layout
1996_huffman,Best obfuscated character set utility
1996_jonth,Best X11 entry
1996_rcm,Best RFC obfuscation
1996_schweikh1,Worst abuse of the C preprocessor
1996_schweikh2,Best algorithm
1996_schweikh3,Best utility
1996_westley,Best one liner
1998_banks,Best of Show
1998_bas1,Best encapsulation
